,Status_Date_UTC,Date_UTC,Status_Time_UTC,Time_UTC,Status_POS_Latitude_WGS84_deg,POS_Latitude_WGS84_deg,Status_POS_Longitude_WGS84_deg,POS_Longitude_WGS84_deg,Status_Altitude_WGS84_m,POS_Altitude_WGS84_m,Status_POS_HeightAGL_m,POS_HeightAGL_m,Status_POS_Heading_deg,POS_Heading_deg,Strength,Distance
66,1,14.01.2022,1,08:56:30.3,1,53.914667,1,9.3058592,1,43.2,1,2.1,1,93.76,85,11.835218404466685
67,1,14.01.2022,1,08:56:30.8,1,53.91465,1,9.3060565,1,43.2,1,2.1,1,93.92,87,11.825400526549467
68,1,14.01.2022,1,08:56:32.7,1,53.914617,1,9.306807,1,43.2,1,2.1,1,94.3,85,11.786188965458853
69,1,14.01.2022,1,08:56:32.9,1,53.914617,1,9.3068862,1,43.2,1,2.1,1,94.29,84,11.781843848830526
70,1,14.01.2022,1,08:56:33.5,1,53.9146,1,9.3071232,1,43.2,1,2.1,1,94.33,61,11.769879289922262
71,1,14.01.2022,1,08:56:34.3,1,53.9146,1,9.3074392,1,43.1,1,2.1,1,94.52,94,11.75255911819541
72,1,14.01.2022,1,08:56:36.6,1,53.91455,1,9.3083462,1,43.1,1,2.1,1,95.53,86,11.705965662560798
73,1,14.01.2022,1,08:56:37.5,1,53.914517,1,9.3087,1,43.2,1,2.1,1,95.86,99,11.688650300793714
74,1,14.01.2022,1,08:56:38.3,1,53.9145,1,9.3090145,1,43.2,1,2.1,1,96.06,98,11.672518510408564
75,1,14.01.2022,1,08:56:39.2,1,53.914483,1,9.309368,1,43.2,1,2.1,1,96.15,85,11.654273622138927
76,1,14.01.2022,1,08:56:39.5,1,53.914483,1,9.3094862,1,43.2,1,2.1,1,96.23,99,11.647826972254629
77,1,14.01.2022,1,08:56:40.7,1,53.91445,1,9.3099573,1,43.3,1,2.1,1,96.56,74,11.624185650361955
78,1,14.01.2022,1,08:56:41.6,1,53.914417,1,9.3103107,1,43.4,1,2.1,1,96.92,95,11.606983808540091
79,1,14.01.2022,1,08:56:42.9,1,53.914383,1,9.3108217,1,43.2,1,2.1,1,97.04,97,11.581298256637114
80,1,14.01.2022,1,08:56:43.2,1,53.914367,1,9.3109398,1,43.2,1,2.1,1,97.11,99,11.575873189839326
81,1,14.01.2022,1,08:56:43.8,1,53.91435,1,9.3111758,1,43.2,1,2.1,1,97.13,97,11.564110052933332
82,1,14.01.2022,1,08:56:44.9,1,53.914317,1,9.3116082,1,43.2,1,2.1,1,97.26,102,11.542696329084267
83,1,14.01.2022,1,08:56:47.1,1,53.91425,1,9.3124695,1,43.3,1,2.1,1,98.28,99,11.500213626532497
